host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,room_type,accommodates,bathrooms_text,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,popularity,host_is_local,host_years,review_years_range
3,1.0,1.0,0,1,1,1,0,7,2.0,6.0,4523.0,3,30,1,15,25,53,143,4.88,4.94,4.9,4.92,4.9,4.8,4.88,0,1.86,3,1,10,9.75
3,1.0,1.0,0,10,1,1,0,3,1.0,1.0,2009.0,180,365,1,29,59,89,179,4.82,4.89,4.97,4.97,5.0,4.6,4.83,1,0.29,3,1,10,3.44
2,0.9,0.98,1,5,1,1,2,2,1.0,1.0,1142.0,1,365,1,1,7,37,312,5.0,4.75,4.5,5.0,4.75,4.75,4.5,0,0.49,2,1,10,0.61
2,0.98,0.98,0,106,1,1,2,2,1.0,1.0,2850.0,30,365,1,5,35,65,340,4.67,4.75,5.0,4.67,4.75,3.75,4.67,0,0.03,2,0,10,0.06
2,0.98,0.98,0,106,1,1,2,2,1.0,1.0,1980.0,30,365,1,1,28,58,333,4.28,4.16,4.53,4.22,4.0,3.72,4.22,0,0.16,0,0,10,8.86
2,0.98,0.98,0,106,1,1,2,2,1.0,2.0,1520.0,30,365,1,6,6,6,220,4.45,4.36,4.36,4.64,4.55,4.45,4.36,0,0.09,0,0,10,9.55
2,1.0,0.67,0,1,1,1,0,4,1.0,1.0,1000.0,7,1125,1,1,23,37,128,4.74,4.87,4.32,4.78,4.84,4.76,4.76,0,0.32,3,0,10,9.88
3,1.0,0.96,0,5,1,1,0,2,1.0,1.0,4725.0,30,365,1,0,23,53,328,4.86,4.93,4.85,4.87,4.93,4.96,4.76,1,0.95,3,0,11,10.45
3,1.0,1.0,1,8,1,1,3,1,0.0,1.0,400.0,1,1125,1,30,60,90,365,4.8,5.0,4.6,4.8,4.6,4.6,4.6,1,0.04,2,1,10,9.01
2,1.0,1.0,1,3,1,1,0,2,1.0,1.0,1000.0,84,730,1,8,8,8,278,4.92,4.88,4.96,4.79,4.96,4.67,4.71,0,0.21,0,0,10,9.02
2,0.98,0.98,0,106,1,1,2,2,1.0,2.0,1520.0,30,365,1,5,15,15,230,4.57,4.86,4.43,4.86,5.0,4.43,4.71,0,0.06,2,0,10,4.51
2,0.98,0.98,0,106,1,1,2,2,1.0,2.0,2000.0,30,365,1,6,36,66,341,4.43,4.29,4.86,4.71,4.57,3.86,4.43,0,0.06,2,0,10,3.15
3,1.0,1.0,1,7,1,1,0,2,1.0,2.0,990.0,2,120,1,5,9,19,106,4.79,4.83,4.85,4.83,4.89,4.62,4.77,1,3.65,3,0,11,10.02
2,0.98,0.98,0,106,1,1,2,2,1.0,2.0,1850.0,30,365,1,2,2,2,266,4.2,5.0,5.0,4.8,5.0,4.6,4.8,0,0.04,2,0,10,4.85
3,1.0,0.94,1,4,1,1,2,2,1.0,1.0,1801.0,30,1125,1,0,0,0,205,4.86,4.71,4.86,4.86,5.0,4.86,4.86,1,0.06,2,1,10,9.48
3,1.0,0.97,1,4,1,1,0,2,1.0,1.0,2199.0,21,180,1,18,24,54,54,4.95,4.89,4.89,5.0,5.0,4.84,4.79,0,0.16,0,1,10,9.87
